seller_id,category,seller_tier_city,join_day,tenure_days,order_count,avg_monthly_revenue,avg_rating,return_rate,support_tickets_total,order_velocity_30d_change,rating_trend_90d,pricing_competitiveness,sla_breach_rate,days_since_last_order,churned,segment,segment_name,churn_risk_score,risk_tier
SLR000030,Grocery,Tier-1 Metro,353,377,309,10809.68,3.84,0.0683,1,-0.5465,0.0793,0.687,0.1138,73,1,3,Star Performers,0.19443344028551562,Low
SLR000031,Toys & Baby,Tier-1 Metro,0,730,606,15355.45,3.31,0.1652,9,0.2713,-0.143,0.5915,0.0981,16,0,4,Declining Momentum,0.31403105870398706,Medium
SLR000032,Toys & Baby,Tier-1 Metro,698,32,38,43046.25,4.17,0.1172,5,-0.2722,0.0617,0.7169,0.1221,10,0,3,Star Performers,0.20230149426671354,Low
SLR000033,Toys & Baby,Tier-1 Metro,623,107,78,28333.7,3.84,0.1839,8,-0.2553,0.118,0.5679,0.1436,43,1,4,Declining Momentum,0.43509412939240777,Medium
SLR000034,Sports & Fitness,Tier-1 Metro,82,648,206,8534.35,4.58,0.1274,1,0.1844,0.0868,0.8595,0.1682,7,0,3,Star Performers,0.045788347216628125,Low
SLR000035,Beauty & Personal Care,Tier-3 Town,627,103,292,115683.35,4.07,0.2544,9,-0.2705,0.2196,0.4118,0.1873,35,1,4,Declining Momentum,0.4148729408203842,Medium
SLR000036,Fashion,Tier-1 Metro,532,198,76,15447.34,3.84,0.2761,8,-0.0121,-0.0727,0.675,0.0698,40,0,1,Steady Mid-Tier,0.2672218315272007,Low
SLR000037,Electronics,Tier-2 City,72,658,2090,85630.78,3.32,0.2419,13,0.5123,-0.173,0.4356,0.3164,16,1,0,Star Performers,0.6268550206926491,High
SLR000038,Electronics,Tier-1 Metro,679,51,61,41930.82,3.29,0.1859,10,0.066,-0.072,0.6699,0.1719,15,1,1,Steady Mid-Tier,0.5928054144613867,Medium
SLR000039,Fashion,Tier-2 City,515,215,430,27896.54,2.72,0.3571,12,0.566,-0.096,0.5764,0.1456,29,1,2,Struggling / High-Return Risk,0.6347891764018367,High
SLR000040,Sports & Fitness,Tier-2 City,152,578,147,2721.57,3.96,0.1924,11,0.1576,-0.0984,0.6449,0.241,55,1,1,Steady Mid-Tier,0.3980388674795856,Medium
SLR000041,Fashion,Tier-1 Metro,183,547,415,9350.39,3.05,0.3035,14,-0.474,-0.1673,0.3953,0.1892,76,1,2,Struggling / High-Return Risk,0.8522291483082324,High
SLR000042,Beauty & Personal Care,Tier-1 Metro,0,730,2251,59012.52,3.01,0.1504,7,-0.2808,0.0539,0.7574,0.1684,0,0,0,Star Performers,0.42899746723287774,Medium
SLR000043,Mobiles & Accessories,Tier-1 Metro,156,574,974,31048.39,4.52,0.2128,3,-0.5791,0.1411,0.2313,0.1785,14,0,4,Declining Momentum,0.25198318419200544,Low
SLR000044,Sports & Fitness,Tier-2 City,0,730,553,19420.12,4.18,0.1682,2,-0.2023,-0.4175,0.3927,0.2141,3,0,4,Declining Momentum,0.37018425133619,Medium
SLR000045,Sports & Fitness,Tier-1 Metro,470,260,74,8516.56,3.72,0.1519,6,-0.285,0.0497,0.6706,0.1678,2,0,1,Steady Mid-Tier,0.4234959453225721,Medium
SLR000046,Fashion,Tier-2 City,162,568,1319,74140.78,3.42,0.3156,8,-0.4331,-0.1857,0.7443,0.2193,17,1,2,Struggling / High-Return Risk,0.542490231250077,Medium
SLR000047,Toys & Baby,Tier-1 Metro,263,467,743,58603.03,3.58,0.1747,7,0.242,-0.3258,0.7906,0.1813,0,0,1,Steady Mid-Tier,0.3758543909788901,Medium
SLR000048,Grocery,Tier-1 Metro,205,525,748,30084.7,3.87,0.1154,7,-0.241,-0.2893,0.7367,0.155,6,0,1,Steady Mid-Tier,0.37473089871166126,Medium
SLR000049,Fashion,Tier-1 Metro,628,102,165,17870.9,3.32,0.224,9,-0.338,0.0494,0.6957,0.0684,23,0,1,Steady Mid-Tier,0.39023024383358235,Medium
SLR000050,Toys & Baby,Tier-2 City,654,76,235,129811.32,4.07,0.1511,10,-0.1432,0.1505,0.8383,0.1893,11,0,1,Steady Mid-Tier,0.2407168131404309,Low
SLR000051,Fashion,Tier-3 Town,558,172,140,20768.76,3.5,0.3948,16,-0.343,-0.2035,0.4208,0.2712,35,1,2,Struggling / High-Return Risk,0.8587689725591992,High
SLR000052,Toys & Baby,Tier-3 Town,372,358,597,47310.31,3.48,0.235,9,-0.3839,-0.1514,0.6823,0.2067,0,0,1,Steady Mid-Tier,0.5327073141661003,Medium
SLR000053,Sports & Fitness,Tier-2 City,0,730,1141,25197.42,3.84,0.2308,10,0.1265,-0.1866,0.6788,0.1292,51,1,1,Steady Mid-Tier,0.3152571934297267,Medium
SLR000054,Home & Kitchen,Tier-1 Metro,602,128,372,90101.41,3.35,0.1381,8,0.2905,-0.2733,0.4541,0.1502,20,1,4,Declining Momentum,0.569557846969996,Medium
SLR000055,Grocery,Tier-1 Metro,688,42,16,7084.57,3.38,0.1124,4,-0.354,-0.2796,0.2996,0.0988,7,0,4,Declining Momentum,0.688232924476642,High
SLR000056,Beauty & Personal Care,Tier-2 City,304,426,227,17259.97,3.29,0.1481,8,0.0788,-0.093,0.8218,0.1941,21,1,1,Steady Mid-Tier,0.38768227508279646,Medium
SLR000057,Fashion,Tier-2 City,407,323,50,3404.2,3.34,0.2999,7,0.072,-0.1925,0.6645,0.2158,3,0,1,Steady Mid-Tier,0.49582090920180044,Medium
SLR000058,Mobiles & Accessories,Tier-2 City,464,266,285,15661.48,3.29,0.2535,5,-0.3025,-0.1363,0.589,0.2171,41,1,1,Steady Mid-Tier,0.6280526039316171,High
SLR000059,Grocery,Tier-2 City,143,587,70,2250.77,3.58,0.1267,5,-0.2741,0.074,0.4205,0.2151,73,1,4,Declining Momentum,0.4058185311630161,Medium
SLR000060,Mobiles & Accessories,Tier-3 Town,504,226,129,19252.49,3.18,0.318,13,-0.1998,-0.003,0.8294,0.3046,45,1,2,Struggling / High-Return Risk,0.716083587169238,High
SLR000061,Mobiles & Accessories,Tier-1 Metro,398,332,816,26614.56,3.93,0.168,8,-0.1227,0.0018,0.8497,0.0896,15,0,1,Steady Mid-Tier,0.16020118897301974,Low
SLR000062,Fashion,Tier-2 City,574,156,97,23900.63,3.68,0.3437,12,0.1492,-0.1388,0.518,0.1968,11,1,2,Struggling / High-Return Risk,0.5935353403306872,Medium
SLR000063,Home & Kitchen,Tier-2 City,473,257,292,46471.84,4.15,0.2187,5,0.2758,-0.1495,0.7239,0.0593,3,0,3,Star Performers,0.14422150643202797,Low
SLR000064,Grocery,Tier-2 City,618,112,175,25660.59,4.35,0.197,5,0.0735,0.0426,0.4778,0.2489,109,1,4,Declining Momentum,0.3479016168381624,Medium
SLR000065,Grocery,Tier-3 Town,46,684,992,25527.06,3.78,0.225,10,-0.0237,-0.2004,0.5094,0.2008,2,0,4,Declining Momentum,0.4121574423499274,Medium
SLR000066,Sports & Fitness,Tier-2 City,337,393,966,59414.19,4.57,0.1593,1,0.3044,-0.0751,0.8441,0.1654,9,0,3,Star Performers,0.05702011182993727,Low
SLR000067,Home & Kitchen,Tier-2 City,432,298,172,12913.16,3.63,0.2181,10,0.4587,0.1543,0.8614,0.21,0,0,1,Steady Mid-Tier,0.25893808311262734,Low
SLR000068,Beauty & Personal Care,Tier-3 Town,274,456,15,413.13,3.11,0.2662,10,-0.3484,-0.2372,0.3947,0.2597,70,1,2,Struggling / High-Return Risk,0.8457962545980914,High
SLR000069,Sports & Fitness,Tier-1 Metro,472,258,1474,236273.35,3.91,0.1401,2,-0.1715,0.0549,0.6655,0.1362,10,0,0,Star Performers,0.21954694618328705,Low
SLR000070,Fashion,Tier-2 City,298,432,516,14884.69,3.0,0.3278,9,-0.5192,-0.361,0.1255,0.2395,94,1,2,Struggling / High-Return Risk,0.9137421429878854,High
SLR000071,Sports & Fitness,Tier-2 City,0,730,947,27664.58,4.03,0.1985,2,-0.2464,-0.178,0.6375,0.2116,13,0,1,Steady Mid-Tier,0.2805164981078005,Low
SLR000072,Toys & Baby,Tier-2 City,559,171,108,24187.02,2.54,0.2434,15,-0.2465,-0.3049,0.4214,0.2732,110,1,2,Struggling / High-Return Risk,0.9609590942950913,High
SLR000073,Toys & Baby,Tier-2 City,408,322,723,45789.06,3.97,0.1378,2,0.2301,-0.0112,0.8168,0.1266,5,0,3,Star Performers,0.07749520444530472,Low
SLR000074,Grocery,Tier-3 Town,211,519,355,13760.38,3.25,0.2167,12,-0.3794,-0.1381,0.5825,0.2795,27,1,2,Struggling / High-Return Risk,0.7524851721544793,High
SLR000075,Home & Kitchen,Tier-2 City,0,730,819,28710.67,4.01,0.1727,4,-0.028,-0.1205,0.5396,0.0806,12,0,4,Declining Momentum,0.13888984977833738,Low
SLR000076,Grocery,Tier-1 Metro,424,306,264,17136.7,4.04,0.1263,5,0.0965,-0.0123,0.8715,0.1465,5,1,3,Star Performers,0.1677375472530339,Low
SLR000077,Beauty & Personal Care,Tier-3 Town,101,629,507,24703.21,3.76,0.2706,10,-0.2615,-0.3525,0.5344,0.2364,44,1,2,Struggling / High-Return Risk,0.6419189120806034,High
SLR000078,Beauty & Personal Care,Tier-2 City,567,163,317,20889.75,3.92,0.1675,4,0.4164,-0.0657,0.3409,0.1857,0,0,4,Declining Momentum,0.296791805195368,Low
SLR000079,Home & Kitchen,Tier-3 Town,412,318,60,5968.81,3.06,0.2516,8,-0.2318,-0.1136,0.7089,0.2536,10,0,2,Struggling / High-Return Risk,0.672534576322869,High
SLR000080,Electronics,Tier-3 Town,175,555,370,14450.2,3.22,0.3049,12,-0.5075,-0.3505,0.1954,0.2564,35,1,2,Struggling / High-Return Risk,0.8968912401448993,High
SLR000081,Electronics,Tier-3 Town,372,358,538,56572.49,3.79,0.3143,12,-0.3872,0.0986,0.6342,0.212,5,0,2,Struggling / High-Return Risk,0.5162695759775574,Medium
SLR000082,Beauty & Personal Care,Tier-2 City,566,164,279,54148.63,3.71,0.1307,6,-0.2663,-0.0545,0.5969,0.207,64,1,4,Declining Momentum,0.44893375049673145,Medium
SLR000083,Electronics,Tier-3 Town,566,164,1013,157084.2,4.18,0.2154,3,-0.3124,-0.1015,0.7351,0.1078,3,0,1,Steady Mid-Tier,0.13271061168010045,Low
SLR000084,Mobiles & Accessories,Tier-1 Metro,383,347,419,36498.14,3.9,0.2033,7,-0.5941,-0.272,0.4891,0.1463,18,1,4,Declining Momentum,0.5720691328240962,Medium
SLR000085,Sports & Fitness,Tier-1 Metro,475,255,833,87077.66,3.74,0.1503,7,0.0187,0.174,0.629,0.1323,26,0,3,Star Performers,0.2769511181923575,Low
SLR000086,Toys & Baby,Tier-1 Metro,360,370,203,17646.32,3.83,0.1392,10,-0.7279,-0.1066,0.7623,0.1895,23,0,1,Steady Mid-Tier,0.5512823080726027,Medium
SLR000087,Grocery,Tier-2 City,495,235,965,79378.58,3.98,0.1341,5,0.4462,-0.1489,0.7612,0.1185,14,0,3,Star Performers,0.13008242580499332,Low
SLR000088,Mobiles & Accessories,Tier-3 Town,291,439,47,2730.9,3.39,0.3428,14,-0.4662,-0.3241,0.3651,0.2854,61,1,2,Struggling / High-Return Risk,0.8936179459707646,High
SLR000089,Mobiles & Accessories,Tier-1 Metro,242,488,1257,59699.95,3.56,0.2142,10,-0.1885,-0.1523,0.585,0.1483,7,0,4,Declining Momentum,0.4920438566291424,Medium
SLR000090,Fashion,Tier-2 City,142,588,812,47605.14,3.83,0.2947,11,-0.2615,0.1437,0.8291,0.1325,23,0,1,Steady Mid-Tier,0.2002412266792052,Low
SLR000091,Mobiles & Accessories,Tier-2 City,392,338,463,42331.58,3.74,0.2099,3,0.2137,-0.1121,0.6849,0.0644,7,0,3,Star Performers,0.12720660382447438,Low
SLR000092,Toys & Baby,Tier-2 City,243,487,384,21466.58,3.93,0.1844,7,-0.1963,-0.2819,0.6718,0.1939,0,0,1,Steady Mid-Tier,0.38830839103272635,Medium
SLR000093,Beauty & Personal Care,Tier-1 Metro,431,299,1005,95711.84,3.58,0.1226,4,-0.1961,-0.2091,0.551,0.0474,17,0,4,Declining Momentum,0.33541424676088594,Medium
SLR000094,Mobiles & Accessories,Tier-2 City,621,109,266,36447.6,3.66,0.1859,2,0.4296,-0.0355,0.5694,0.1469,28,1,3,Star Performers,0.16386063191110414,Low
SLR000095,Electronics,Tier-1 Metro,533,197,324,66437.67,4.23,0.1748,4,0.3272,0.172,0.6916,0.136,0,0,3,Star Performers,0.09595320286733364,Low
SLR000096,Grocery,Tier-2 City,387,343,38,3929.26,3.85,0.1648,6,-0.3104,-0.2692,0.7223,0.2631,42,1,1,Steady Mid-Tier,0.5599746066292213,Medium
SLR000097,Toys & Baby,Tier-1 Metro,407,323,644,20962.79,3.93,0.1408,10,-0.3504,-0.0781,0.7361,0.1833,5,1,1,Steady Mid-Tier,0.4130488440549021,Medium
SLR000098,Home & Kitchen,Tier-1 Metro,0,730,802,31610.66,2.65,0.1921,8,-0.0474,-0.4221,0.5078,0.2264,49,1,2,Struggling / High-Return Risk,0.8333277081245095,High
SLR000099,Beauty & Personal Care,Tier-1 Metro,0,730,2512,74351.7,3.95,0.1208,4,0.1917,-0.2392,0.8361,0.1711,8,0,0,Star Performers,0.13013495123316574,Low
SLR000100,Electronics,Tier-3 Town,207,523,547,16965.2,2.04,0.3305,8,-0.7053,-0.3999,0.6603,0.3725,90,1,2,Struggling / High-Return Risk,0.9692026942774135,High
SLR000101,Home & Kitchen,Tier-3 Town,259,471,300,10303.29,3.23,0.2636,7,-0.9063,-0.266,0.5316,0.3359,5,1,2,Struggling / High-Return Risk,0.8804369225752234,High
SLR000102,Grocery,Tier-3 Town,453,277,853,113718.19,3.85,0.1947,7,0.0534,0.11,0.5432,0.1688,7,0,4,Declining Momentum,0.23024773407217228,Low
SLR000103,Home & Kitchen,Tier-2 City,427,303,550,33211.59,3.2,0.2199,10,-0.2051,-0.0526,0.8593,0.1495,17,0,1,Steady Mid-Tier,0.5474646268111442,Medium
SLR000104,Fashion,Tier-2 City,389,341,130,7321.19,3.62,0.2976,8,-0.1431,-0.232,0.7479,0.29,49,1,2,Struggling / High-Return Risk,0.5615617812647384,Medium
SLR000105,Fashion,Tier-1 Metro,521,209,289,44826.28,3.74,0.262,5,0.0166,0.2895,0.7638,0.1905,50,1,1,Steady Mid-Tier,0.19208708374783762,Low
SLR000106,Home & Kitchen,Tier-2 City,553,177,586,134627.05,3.87,0.143,4,0.0547,0.0852,0.9648,0.1592,100,1,3,Star Performers,0.12501023780944626,Low
SLR000107,Mobiles & Accessories,Tier-2 City,661,69,123,39617.25,3.29,0.2879,13,0.0147,-0.1136,0.5424,0.212,69,1,2,Struggling / High-Return Risk,0.7732226087405325,High
SLR000108,Electronics,Tier-3 Town,0,730,793,38349.36,3.37,0.325,11,-0.2272,-0.2859,0.6689,0.4307,0,0,2,Struggling / High-Return Risk,0.8211835309380088,High
SLR000109,Beauty & Personal Care,Tier-3 Town,0,730,5067,236160.13,3.26,0.251,7,0.0883,-0.2677,0.4247,0.3169,95,1,0,Star Performers,0.567318078383777,Medium
SLR000110,Beauty & Personal Care,Tier-1 Metro,186,544,298,20210.38,3.33,0.1044,7,0.1453,0.1177,0.6651,0.1684,5,0,4,Declining Momentum,0.2736712947646065,Low
SLR000111,Home & Kitchen,Tier-1 Metro,173,557,143,3653.32,2.17,0.2053,10,-0.3882,-0.1003,0.3328,0.3067,71,1,2,Struggling / High-Return Risk,0.9562672889290567,High
SLR000112,Home & Kitchen,Tier-1 Metro,0,730,567,13201.73,4.46,0.1779,8,0.0073,0.2522,0.6461,0.104,4,0,3,Star Performers,0.08683536612178487,Low
SLR000113,Fashion,Tier-3 Town,169,561,1039,47406.35,2.94,0.3963,13,0.1121,-0.2512,0.7835,0.2379,7,1,2,Struggling / High-Return Risk,0.6466031359277707,High
SLR000114,Beauty & Personal Care,Tier-2 City,261,469,446,26413.09,2.89,0.1787,5,-0.0479,0.0053,0.7513,0.2525,4,0,1,Steady Mid-Tier,0.5521933676650367,Medium
SLR000115,Sports & Fitness,Tier-1 Metro,231,499,4128,244623.05,4.48,0.1376,0,0.2319,-0.09,0.9532,0.0271,0,0,0,Star Performers,0.023955678570737122,Low
SLR000116,Mobiles & Accessories,Tier-2 City,0,730,828,45461.35,3.28,0.2182,7,-0.3506,-0.2539,0.8193,0.2259,0,0,1,Steady Mid-Tier,0.4857179586147637,Medium
SLR000117,Fashion,Tier-2 City,158,572,1733,95446.23,3.6,0.3283,10,-0.3906,-0.3904,0.7553,0.2076,84,1,2,Struggling / High-Return Risk,0.5940004590950191,Medium
SLR000118,Sports & Fitness,Tier-1 Metro,0,730,901,42596.98,3.77,0.1761,5,-0.2056,-0.1448,0.6135,0.2494,21,1,4,Declining Momentum,0.4636799823463973,Medium
SLR000119,Toys & Baby,Tier-2 City,0,730,135,6297.94,2.93,0.2299,14,-0.3625,-0.1278,0.6206,0.2523,43,1,2,Struggling / High-Return Risk,0.8214153920509216,High
SLR000120,Fashion,Tier-1 Metro,557,173,664,113669.43,3.59,0.2668,10,-0.5949,-0.0644,0.6109,0.2006,64,1,2,Struggling / High-Return Risk,0.6675640732581591,High
SLR000121,Sports & Fitness,Tier-2 City,447,283,151,21441.51,3.5,0.2128,9,-0.2444,-0.1318,0.7218,0.2521,15,1,1,Steady Mid-Tier,0.6850615205681053,High
SLR000122,Mobiles & Accessories,Tier-2 City,438,292,307,21054.96,3.16,0.2621,6,0.0408,-0.0835,0.4747,0.2004,1,0,4,Declining Momentum,0.5959783133501032,Medium
SLR000123,Sports & Fitness,Tier-1 Metro,572,158,250,17402.58,4.32,0.11,4,-0.113,0.0103,0.8354,0.0,17,0,3,Star Performers,0.08094312410854913,Low
SLR000124,Grocery,Tier-3 Town,0,730,857,17549.18,3.38,0.1706,4,0.4837,0.2547,1.0,0.187,0,0,3,Star Performers,0.05548000182154184,Low
SLR000125,Beauty & Personal Care,Tier-2 City,629,101,256,56676.64,4.43,0.1631,8,0.4932,-0.018,0.393,0.2944,4,0,4,Declining Momentum,0.3132782053327892,Medium
SLR000126,Beauty & Personal Care,Tier-2 City,382,348,316,23872.69,3.33,0.1724,10,0.1492,-0.1782,0.4729,0.1627,8,0,4,Declining Momentum,0.5725332801500861,Medium
SLR000127,Fashion,Tier-2 City,693,37,33,18300.34,4.63,0.2765,6,0.0177,0.3066,0.8876,0.1102,14,0,3,Star Performers,0.05104627897837269,Low
SLR000128,Home & Kitchen,Tier-2 City,242,488,926,75430.79,3.54,0.2214,11,0.0145,0.0076,0.3992,0.1545,12,1,4,Declining Momentum,0.5137060003373883,Medium
SLR000129,Fashion,Tier-1 Metro,613,117,233,65895.78,3.17,0.3054,3,-0.6148,-0.086,0.4553,0.1498,14,0,2,Struggling / High-Return Risk,0.7217108889007506,High
SLR000130,Beauty & Personal Care,Tier-1 Metro,494,236,136,22431.94,3.97,0.1296,4,-0.1733,0.0221,0.4187,0.1338,2,0,4,Declining Momentum,0.3225926326704426,Medium
SLR000131,Toys & Baby,Tier-1 Metro,595,135,165,46448.02,3.52,0.2038,7,-0.3754,-0.1922,0.3333,0.2103,39,1,4,Declining Momentum,0.7992702221323863,High
SLR000132,Sports & Fitness,Tier-1 Metro,289,441,798,40716.5,4.49,0.1373,7,-0.4096,-0.2635,0.5272,0.1977,0,0,4,Declining Momentum,0.40237428593602526,Medium
SLR000133,Fashion,Tier-1 Metro,287,443,411,11108.83,3.97,0.2574,8,-0.0833,0.1608,0.6674,0.1232,5,0,1,Steady Mid-Tier,0.17223666606622476,Low
SLR000134,Mobiles & Accessories,Tier-1 Metro,372,358,337,16420.79,3.21,0.2399,6,-0.4677,-0.181,0.6057,0.2167,15,0,2,Struggling / High-Return Risk,0.7373869643364388,High
SLR000135,Home & Kitchen,Tier-1 Metro,358,372,472,21923.82,3.65,0.1356,2,-0.5243,0.0458,0.6196,0.0,11,0,3,Star Performers,0.20609298663087433,Low
SLR000136,Toys & Baby,Tier-1 Metro,474,256,450,41557.49,3.34,0.1724,6,0.3431,0.0868,0.503,0.1653,11,0,4,Declining Momentum,0.3671806011765727,Medium
SLR000137,Fashion,Tier-2 City,483,247,581,25162.03,3.19,0.3343,7,-0.4662,-0.2325,0.3846,0.1649,37,1,2,Struggling / High-Return Risk,0.7704234467821753,High
SLR000138,Sports & Fitness,Tier-3 Town,400,330,669,31591.14,3.9,0.2186,9,-0.248,-0.045,0.4465,0.2777,5,1,4,Declining Momentum,0.5393568466947471,Medium
SLR000139,Beauty & Personal Care,Tier-2 City,0,730,495,18550.5,3.81,0.192,8,-0.1083,0.0784,0.6961,0.1449,2,0,1,Steady Mid-Tier,0.23039752117523066,Low
SLR000140,Beauty & Personal Care,Tier-1 Metro,492,238,1190,181394.92,3.54,0.107,4,0.0085,0.1036,0.7192,0.1191,10,0,3,Star Performers,0.21059812513706921,Low
SLR000141,Sports & Fitness,Tier-2 City,233,497,498,11399.97,3.16,0.1957,6,-0.2994,-0.3105,0.6534,0.2372,33,1,2,Struggling / High-Return Risk,0.7207285956831343,High
SLR000142,Toys & Baby,Tier-2 City,47,683,2565,121984.84,4.36,0.1284,5,-0.3291,-0.2562,0.8171,0.1499,31,1,0,Star Performers,0.10886044486359428,Low
SLR000143,Beauty & Personal Care,Tier-2 City,387,343,102,5822.6,3.53,0.1805,5,-0.1399,-0.0277,0.596,0.1712,5,0,4,Declining Momentum,0.4209329611184867,Medium
SLR000144,Home & Kitchen,Tier-1 Metro,194,536,1404,94541.92,3.39,0.1765,9,-0.2919,-0.2344,0.542,0.2021,8,0,2,Struggling / High-Return Risk,0.6770127207027239,High
SLR000145,Mobiles & Accessories,Tier-3 Town,619,111,330,105808.16,3.43,0.3355,6,-0.0158,-0.1167,0.4403,0.3022,36,1,2,Struggling / High-Return Risk,0.6984985340081328,High
SLR000146,Electronics,Tier-1 Metro,556,174,889,166584.07,3.62,0.1785,7,-0.3754,0.0101,0.3304,0.2581,57,1,4,Declining Momentum,0.6935082703430047,High
